Highway,Side,Between,Prohibited Times and/or Days
Arnall Avenue,Both,Pharmacy Avenue and Huntsmill Boulevard,2:00 a.m. to 6:00 a.m.
Eagleview Crescent,Both,Wintermute Boulevard (south intersection) and Wintermute Boulevard (north intersection),2:00 a.m. to 6:00 a.m.
Ecclesfield Drive,Both,Huntsmill Boulevard (south intersection) and Huntsmill Boulevard (north intersection),2:00 a.m. to 6:00 a.m.
Lanewood Court,Both,Beverly Glen Boulevard and Brookshire Boulevard,2:00 a.m. to 6:00 a.m.
La Peer Boulevard,Both,Brookmill Boulevard and McNicoll Avenue,2:00 a.m. to 6:00 a.m.
Redbird Gate,Both,Heatherside Drive and Huntingdale Boulevard,2:00 a.m. to 6:00 a.m.
Redheugh Crescent,Both,Ambercroft Boulevard (south intersection) and Ambercroft Boulevard (north intersection),2:00 a.m. to 6:00 a.m.
Bamburgh Circle (east branch),Both,Warden Avenue (south intersection) and Warden Avenue (north intersection),2:00 a.m. to 6:00 a.m.
Bamburgh Circle (west branch),Both,Warden Avenue (south intersection) and Warden Avenue (north intersection),2:00 a.m. to 6:00 a.m.
Echo Point,Both,Bridletowne Circle (east branch) and west end of Echo Point,2:00 a.m. to 6:00 a.m.
Echo Point,Both,Bridletowne Circle (east branch) and west end of Echo Point,2:00 a.m. to 6:00 a.m.
Lapworth Crescent,Both,Morbank Drive (south intersecion) and Morbank Drive (north intersection),2:00 a.m. to 6:00 a.m.
Lesskim Court,Both,Sharrowbay Court and the west end of Lesskim Court,2:00 a.m. to 6:00 a.m.
Silver Spruce Drive,Both,Beverly Glen Boulevard and Brookshire Boulevard,2:00 a.m. to 6:00 a.m.
Souter Court,Both,Huntsmill Boulevard and the north end of Souter Court,2:00 a.m. to 6:00 a.m.
Belinda Square,Both,Wintermute Boulevard and north end of Belinda Square (west leg),2:00 a.m. to 6:00 a.m.
Belsay Court,Both,Frank Rivers Drive and the east end of Belsay Court,2:00 a.m. to 6:00 a.m.
Ellenhall Square,Both,Huntsmill Boulevard and the north end of Ellenhall Square,2:00 a.m. to 6:00 a.m.
Elmartin Drive,Both,Ambercroft Boulevard (south intersecion) and Ambercroft Boulevard (north intersection),2:00 a.m. to 6:00 a.m.
Lofthouse Square,Both,La Peer Boulevard (south intersection) and La Peer Boulevard (north intersection),2:00 a.m. to 6:00 a.m.
Longbow Square,Both,Entire length,2:00 a.m. to 6:00 a.m.
Sandyhook Square,Both,Entire length,2:00 a.m. to 6:00 a.m.
Sanwood Boulevard,Both,Birchmount Road and Purcell Square,2:00 a.m. to 6:00 a.m.
Beswick Park Court,Both,Birchmount Road and the east end of Beswick Park Court,2:00 a.m. to 6:00 a.m.
Beverly Glen Boulevard,Both,Pharmacy Avenue and Bridletowne Circle West,2:00 a.m. to 6:00 a.m.
Elmfield Crescent,Both,Canongate Trail (south intersection) and Canongate Trail (north intersection),2:00 a.m. to 6:00 a.m.
Fabray Court,Both,Bamburgh Circle (west branch) and the north end of Fabray Court,2:00 a.m. to 6:00 a.m.
Lucania Place,Both,Fundy Bay Boulevard and west end of Lucania Place,2:00 a.m. to 6:00 a.m.
Manilow Street,Both,Huntsmill Boulevard and Frank Rivers Drive,2:00 a.m. to 6:00 a.m.
Commissioners Street,North,Carlaw Avenue and a point 122.3 metres east,Anytime
Commissioners Street,South,Carlaw Avenue and a point 165 metres east,Anytime
Dufferin Street,East,Dundas Street West and Sylvan Avenue,"6:30 a.m. to 9:30 a.m., and 3:00 p.m. to 7:00 p.m., Mon. to Fri., except public holidays"
Dufferin Street,West,Dundas Street West and a point 17 metres south of Fisher Street,"7:00 a.m. to 10:00 a.m., and 3:00 p.m. to 7:00 p.m., Mon. to Fri., except public holidays"
Hearst Circle,Inner Perimeter,Entire length,Anytime
Quebec Avenue,East,A point 41 metres north of Bloor Street West and a point 20 metres further north,"6:00 p.m. of one day to 7:00 a.m. of the next following day, Mon. to Fri.; Anytime Sat. and Sun."
Charles Street East,North,A point 54 metres east of Church Street and a point 34 metres further east,"7:30 a.m. to 9:30 a.m., Mon. to Fri., except public holidays"
Charles Street East,North,A point 30.5 metres west of Jarvis Street/Ted Rogers Way and a point 45 metres further west,"7:30 a.m. to 9:30 a.m., Mon. to Fri., except public holidays"
Sheridan Avenue,West,A point 42 metres north of Dundas Street West and College Street,Anytime
Petrolia Road,Both,Limestone Crescent and Steeles Avenue West,Anytime
Lou Pomanti Street,North,Mary Chapman Boulevard and Isaac Devins Boulevard,Anytime
Mary Chapman Boulevard,East,Isaac Devins Boulevard (south intersection) and Sheppard Avenue West,Anytime
Bathurst Street,East,Bridgman Avenue and a point 61.5 metres north of St. Clair Avenue West,Anytime
Vaughan Road,South and west,Kenwood Avenue and a point 44 metres north of St. Clair Avenue West,Anytime
Dufferin Street,West,Fisher Street and Muir Avenue,"7:00 a.m. to 10:00 a.m., and 3:00 p.m. to 7:00 p.m., Mon. to Fri., except public holidays"
Corley Avenue,North,Brookside Drive and Glenmount Park Road,"16th day to the last day of each month, from Apr. 1 to Nov. 30, inclusive"
Newcastle Street,South,Harold Street and Audley Street,Anytime
Vaughan Road,west,St. Clair Avenue West and a point approximately 66.35 metres north,Anytime
St. Mark's Road,South,Jane Street and a point 103 metres west,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Corley Avenue,South,Brookside Drive and Glenmount Park Road,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive and from the first day to the 15th day of each month, from Apr. 1 to Nov. 30, inclusive"
Antibes Drive,Inner Perimeter,Torresdale Avenue (south intersection) and a point 60.4 metres south of Antibes Drive (eastbound one-way segment),Anytime
Thurodale Avenue,South,Chiswick Avenue and a point 36 metres west,Anytime
Densley Avenue (westerly east-west branch),South,Keele Stret and Densley Avenue (north-south branch),Anytime
St. Mark's Road,South,A point 30 metres east of Humbercrest Boulevard and a point 73 metres further east,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
McNicoll Avenuen (SC),South,Innislawn Road and a point 75 metres west,Anytime
Antibes Drive,Inner Perimiter,A point 60.4 metres south of Antibes Drive (eastbound one-way segment) and a point 45 metres further north,Mon. to Fri.
Antibes Drive,Inner Perimiter,A point 15.4 metres south of Antibes Drive (eastbound one-way segment) and Torresdale Avenue (north intersection),Anytime
Densley Avenue (north-south branch),East,Densley Avenue (westerly east-west branch) and Densley Avenue (easterly east-west branch),Anytime
Highview Road,West,Downsview Avenue and a point 29 metres nroth,Anytime
Westover Hill Road,East,Dov Altman Lane and Eglinton Avenue West,"7:00 a.m. to 9:00 a.m., Mon. to Fri."
McNicoll Avenue (SC),South,Warden Avenue and a point 75 metres east,Anytime
Weston Road,East,John Street and a point 25.5 metres north of Fern Avenue,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Antibes Drive (eastbound one-way segment),North,Antibes Drive (north-south segment) and Bathurst Street,Anytime
Antibes Drive (eastbound one-way segment),South,A point 15 metres east of Antibes Drive (north-south segment) and a point 44.8 metres further east,Mon. to Fri.
Kenrae Road,North,Randolph Road and a point 42 metres west of Laird Drive,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
Kenrae Road,South,Randolph Road and Laird Drive,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
Nina Street,South,Hilton Avenue and Lyndhurst Avenue,"Anytime during the months of Apr., June, Aug. and Oct."
Dufferin Street,East,A point 15 metres north of Springhurst Avenue and Queens Street West,"Anytime from and including Fri. Aug 17, 2018 to and including Mon. Sept. 3, 2018"
Antibes Drive (eastbound one-way segment),South,A point 59.8 metres east of Antibes Drive (north-south segment) and Bathurst Street,Anytime
Antibes Drive (westbound one-way segment),Both,Antibes Drive (north-south segment) and Bathurst Street,Anytime
Beth Nealson Drive,Both,Thorncliffe Park Drive/Pat Moore Drive and Wicksteed Avenue,Anytime
Thorncliffe Park Drive,Both,Beth Nealson Drive/Pat Moore Drive and the west limit of the east leg of Thorncliffe Park Drive,Anytime
Nina Street,North,Hilton Avenue and Lyndhurst Avenue,"Anytime during the months of Jan., Feb., Mar., May., July., Sept., Nov. and Dec."
Osler Street,West,Cariboo Avenue and Dupont Street,Anytime
Dufferin Street,West,King Street West and Queen Street West,"Anytime from and including Fri. Aug 17, 2018 to and including Mon. Sept. 3, 2018"
Deauville Lane,East,St. Dennis Drive and Ferrand Drive,8:00 a.m. to 6:00 p.m. Mon. to Fri.
Deauville Lane,West,St. Dennis Drive and Rochefort Drive,Anytime
Spenvalley Drive,North,The west side of Markay Street and Watney Crescent (west intersection),Anytime
Wilson Heights Boulevard,Both,Reiner Road and Sheppard Avenue West,"7:00 a.m. to 9:00 a.m. and 4:00 p.m. to 6:00 p.m., Mon. to Fri."
Bain Avenue,South,A point 24 metres east of Broadview Avenue and a point 11 metres further east,"Anytime from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Bain Avenue,South,A point 35 metres east of Broadview Avenue and a point 38 metres further east,Anytime
Donlands Avenue,West,Cosburn Avenue and a point 29 metres north of Gamble Avenue,Anytime
Gateway Boulevard,East,A point 60 metres north of Grenoble Drive (south intersection) and a point 190 metres north of Grenoble Drive (south intersection),12:01 a.m. to 6:00 a.m.
Gateway Boulevard,North,A point 145 metres east of Don Mills Road (south intersection) and a point 55 metres further east,"4:00 p.m. of one day to 8:00 a.m. of the next following day, Mon. to Fri.; Anytime Sat. and Sun."
Cheston Road,West,A point 50 metres north of Belsize Drive and a point 137 metres further north,"9:15 a.m. to 11:15 a.m., 1:15 p.m. to 3:00 p.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri."
Palmer Avenue,West,A point 67 metres south of Secord Avenue and a point 30 metres further south,Anytime
Bain Avenue,South,A point 73 metres east of Broadview Avenue and a point 11 metres further east,"Anytime from Dec. 1 of one year ro Mar. 31 of the next following year, inclusive"
Bain Avenue,South,A point 123.5 metres east of Broadview Avenue and a point 11.5 metres further east,Anytime
Erindale Avenue,North,A point 34.6 metres east of Broadview Avenue and a point 10.5 metres further east,Anytime
Jarvis Street,West,Shuter Street and a point 44.5 metres north,Anytime
Gateway Boulevard,North,Don Mills Road (north intersection) and a point 81.5 metres east,Anytime
Palmer Avenue,West,Secord Avenue and a point 37 metres south,Anytime
Edwin Avenue,West,A point 28 metres north of Dupont Street and a point opposite the north limit of Edith Avenue,Anytime
Bain Avenue,South,A point 135 metres east of Broadview Avenue and a point 64.5 metres further east,"From 4:30 p.m. of one day to 8:30 a.m. of the next following day Mon. to Fri. except public holidays and anytime on Sat., Sun. and public holidays from Sept. 1 of one year to June 30 of the next following year, inclusive"
Bain Avenue,South,A point 135 metres east of Broadview Avenue and a point 64.5 metres further east,"July 1 to Aug. 31, inclusive"
Main Street,East,Lyall Avenue and a point 69 metres south,Anytime
Main Street,East,Kingston Road and a point 101 metres south of Lyall Avenue,Anytime
Gateway Boulevard,South,A point 82 metres east of Don Mills Road (south intersection) and a point 95 metres further east,2:00 a.m. to 5:00 a.m.
Gateway Boulevard,West,A point 96 metres north of Grenoble Drive (south intersection) and a point 33 metres further north,12:01 a.m. and 6:00 a.m.
Jack Christie Lane,Both,Glen Eden Crescent and Glenfield Crescent,Anytime
Lane first south of St. Clair Avenue West,Both,Glenfield Crescent and Squires Avenue,Anytime
Bain Avenue,South,A point 199.5 metres east of Broadview Avenue and Ingham Avenue,Anytime
Bain Avenue,South,Broadview Avenue and a point 24 metres east,Anytime
Spadina Road,West,A point 35 metres north of Thelma Avenue and a point 12 metres further north,Anytime
Spadina Road,West,Strathearn Boulevard and Eglinton Avenue West,"4:00 p.m. to 6:00 p.m, except public holidays"
Main Street,West,A point 111 metres north of Danforth Avenue and Doncaster Avenue,Anytime
Dufferin Street,West,A point 30.5 metres north of Wallace Avenue and a point 35 metres north of Armstrong Avenue,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Dufferin Street,West,A point 48 metres south of Millicent Street and a point 60 metres north of Armstrong Avenue,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Town Centre Court,North,A point 29 metres west of Borough Drive and a point 42 metres west of Borough Drive,12:01 a.m. to 7:00 a.m.
Town Centre Court,North,A point 58 metres west of Borough Drive and a point 71 metres west of Borough Drive,12:01 a.m. to 7:00 a.m.
Sheppard Avenue West,South,Sentinel Road and William R. Allen Road,Anytime
Avenue Road,West,Melrose Avenue and a point 22.5 metres south,Anytime
Dufferin Street,West,A point 35 metres north of Armstrong Avenue and a point 25 metres further north,Anytime
MacKenzie Crescent,South,Lisgar Street and a point 9 metres west,Anytime
Town Centre Court,South,A point 60 metres west of Borough Drive and a point 107 metres west of Borough Drive,12:01 a.m. to 7:00 a.m.
Sheridan Avenue,East,Dundas Street West and College Street,Anytime
Sheppard Avenue West,South,Weston Road and Sunfield Road,Anytime
Shoeham Drive,North,Murray Ross Parkway and a point 96 metres east,Anytime
Manse Road,Both,A point 50 metres south of Hainford Street and Lawrence Avenue East,Anytime
Manse Road,Both,Coronation Drive and a point 110 metres south of Hainford Street,Anytime
Lawrence Avenue West,North,A point 193.5 metres east of Caledonia Road and Bathurst Street,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays"
Charles Street East,North,Church Street and a point 54 metres east,Anytime
Russell Hill Drive,South,Walmer Road and a point 55 metres west of Spadina Road,Anytime
Walmer Road,East,Austin Terrace and a point 30 metres north of Russell Hill Drive,Anytime
Bathurst Street,East,Adelaide Street West and Richmond Street West,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays"
King Street West,North,A point 62.3 metres east of Brant Street and a point 11 metres further east,Anytime
Lawrence Avenue West,South,A point 193.5 metres east of Caledonia Road and a point opposite Shermount Avenue,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Lawrence Avenue West,South,A point 201 metres east of Caledonia Road and Bathurst Street,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays"
Barrington Avenue,East,Danforth Avenue and a point 113 metres north of Balfour Avenue,Anytime
Dufferin Street,East,Dufferin Park Avenue and Bloor Street West,"6:30 a.m. to 7:00 p.m., Mon. to Fri., and 7:00 a.m. to 6:00 p.m., Sat., Sun. and public holidays"
King Street West,North,A point 54.3 metres west of Spadina Avenue and a point 16.6 metres further west,Anytime
King Street West,South,A point 69.5 metres west of Portland Street and a point 12 metres further west,Anytime
Lawrence Avenue West,South,A point 201 metres east of Caledonia Road and William R. Allen Road,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Commissioners Street,North,A point 134.3 metres east of Carlaw Avenue and a point 30.7 metres further east,Anytime
Appleton Avenue,East,St. Clair Avenue West and Glenhurst Avenue,"From the 16th day of each month to the last day of each month from Apr. 1 to Nov. 30, inclusive"
Lonsdale Road,North,A point 15 metres west of Russell Hill Road and a point 70 metres further west,"6:30 p.m. of one day to 7:30 a.m. of the next following day, Mon. to Fri.; Anytime, Sat. and Sun."
Richmond Street West,South,Duncan Street and a point 32 metres east,Anytime
Richmond Street West,South,Sheppard Street and a point 42 metres west,Anytime
Edward Street,North,A point 150 metres west of Yonge Street and a point 7 metres further west,Anytime
Granby Street,North,A point 31 metres east of Yonge Street and Church Street,Anytime
Appleton Avenue,West,St. Clair Avenue West and Glenhurst Avenue,"From Dec. 1 of one year to Mar. 31 of the next following year, inclusive and from the 1st day to the 15th day of each month from Apr. 1 to Nov. 30, inclusive"
Church Street (TO),East,A point 50.5 metres north of Carlton Street and Wood Street,"7:30 a.m. to 9:30 a.m., Mon. to Fri., except public holidays"
Merton Street,South,A point 277 metres east of Yonge Street and a point 45.1 metres further east,Anytime
Merton Street,South,A point 340.3 metres east of Yonge Street and a point 82.3 metres east of Mount Pleasant Road,Anytime
Richmond Street West,South,Spadina Avenue and a point 140 metres west,Anytime
Richmond Street West,South,Yonge Street and a point 60 metres west,Anytime
Binswood Avenue,East,Barker Avenue and Holborne Avenue,"8:00 a.m. to 10:00 a.m. and 3:00 p.m. to 5:00 p.m., Mon. to Fri."
